,lines
0,"ONCE there were four children whose names were Peter, Susan, Edmund and Lucy."
1,This story is about something that happened to them when they were sent away from London during the war because of the air-raids.
2,"They were sent to the house of an old Professor who lived in the heart of the country, ten miles from the nearest railway station and two miles from the nearest post office."
3,He had no wife and he lived in a very large house with a housekeeper called Mrs Macready and three servants.
4,"(Their names were Ivy, Margaret and Betty, but they do not come into the story much."
5,") He himself was a very old man with shaggy white hair which grew over most of his face as well as on his head, and they liked him almost at once; but on the first evening when he came out to meet them at the front door he was so odd-looking that Lucy (who was the youngest) was a little afraid of him, and Edmund (who was the next youngest) wanted to laugh and had to keep on pretending he was blowing his nose to hide it."
6,"As soon as they had said good night to the Professor and gone upstairs on the first night, the boys came into the girls' room and they all talked it over."
7,"We've fallen on our feet and no mistake, said Peter."
8,This is going to be perfectly splendid.
9,That old chap will let us do anything we like.
10,"I think he's an old dear, said Susan."
11,"Oh, come off it! said Edmund, who was tired and pretending not to be tired, which always made him bad-tempered."
12,Don't go on talking like that.
13,"Like what? said Susan; and anyway, it's time you were in bed."
14,"Trying to talk like Mother, said Edmund."
15,And who are you to say when I'm to go to bed? Go to bed yourself.
16,Hadn't we all better go to bed? said Lucy.
17,There's sure to be a row if we're heard talking here.
18,"No there won't, said Peter."
19,I tell you this is the sort of house where no one's going to mind what we do.
20,"Anyway, they won't hear us."
21,"It's about ten minutes' walk from here down to that dining-room, and any amount of stairs and passages in between."
22,What's that noise? said Lucy suddenly.
23,It was a far larger house than she had ever been in before and the thought of all those long passages and rows of doors leading into empty rooms was beginning to make her feel a little creepy.
24,"It's only a bird, silly, said Edmund."
25,"It's an owl, said Peter."
26,This is going to be a wonderful place for birds.
27,I shall go to bed now.
28,"I say, let's go and explore tomorrow."
29,You might find anything in a place like this.
30,Did you see those mountains as we came along? And the woods? There might be eagles.
31,There might be stags.
32,There'll be hawks.
33,Badgers! said Lucy.
34,Foxes! said Edmund.
35,Rabbits! said Susan.
